Station,Latitude,Longitutde,ISO_DateTime_UTC,Depth,pH,Temperature,Salinity,Fluorescence,Oxygen_mg_L,Oxygen_mM_L,pH_corrected,Pressure
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,60,7.384,9.1858,29.303,0.0831,4.3538,136.059,7.499060023,60.513
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,61,7.381,9.195,29.3053,0.0711,4.3533,136.041,7.496060023,61.522
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,62,7.379,9.1905,29.3063,0.0711,4.429,138.409,7.494060023,62.531
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,63,7.381,9.1704,29.3085,0.0607,4.4988,140.59,7.496060023,63.539
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,64,7.387,9.1555,29.3085,0.0548,4.5909,143.466,7.502060023,64.548
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,65,7.392,9.1487,29.3088,0.0454,4.6014,143.796,7.507060023,65.557
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,66,7.393,9.1519,29.3122,0.0562,4.5546,142.334,7.508060023,66.566
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,67,7.391,9.1716,29.3258,0.0441,4.4689,139.655,7.506060023,67.574
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,68,7.386,9.1862,29.3347,0.0551,4.4332,138.538,7.501060023,68.583
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,69,7.383,9.1904,29.3384,0.0432,4.3909,137.218,7.498060023,69.592
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,70,7.381,9.1994,29.3441,0.0465,4.3534,136.045,7.496060023,70.6
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,71,7.377,9.2162,29.3556,0.0585,4.2868,133.965,7.492060023,71.609
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,72,7.372,9.2291,29.3651,0.0614,4.2459,132.686,7.487060023,72.618
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,73,7.369,9.2342,29.3681,0.0612,4.2328,132.276,7.484060023,73.627
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,74,7.367,9.2364,29.3694,0.0525,4.1982,131.196,7.482060023,74.635
